Tool,Type,Good results quickly,Training requirements,Flexible,Automatable,Powerful,Good for easy tasks,Good for complex tasks,Good with big data,Fun
Excel,Analysis,2,3,1,-2,-1,3,-1,-2,-1
Powerpoint,Presentation,0,1,0,-4,-2,1,-1,-4,-4
Tableau,Presentation,0,2,0,0,0,2,1,0,2
SQL,Storage,-1,1,1,3,0,1,1,1,-3
Unix text tools,Analysis,3,-3,0,5,-2,3,-2,3,0
Python,Analysis,2,1,5,5,3,2,3,3,3
R,Analysis,0,-1,1,2,3,-1,4,-1,2
Mechanical Turk,Analysis,3,3,2,-2,-1,2,-2,-5,2
Hadoop and hive,Storage,-2,-3,1,2,3,-3,0,4,-1
D3,Presentation,-2,-1,3,2,5,-3,4,1,4
